,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Status,Sold Amount,Time Sold,Beds,Bath,Living Area,Lot Size,ZEstimate,Docket Count,Day Count,Place in Line,Court Year,Status Binary,Association Binary,Defendant Count,Previous Auctions
12,2020-12-01,1273562,199817.79,153406.00,139900.00,Sold to Plaintiff,45100.00,09:09 AM,1.0,1.0,918.0,0.0,188576,135.0,18,4,2016,1.0,1.0,8.0,4.0
14,2020-12-01,1276124,389329.60,110118.00,HIDDEN,Sold to Plaintiff,110100.00,09:21 AM,1.0,1.0,1010.0,0.0,168628,100.0,18,8,2018,1.0,1.0,6.0,2.0
15,2020-12-01,1275233,307459.04,201000.00,HIDDEN,Sold to 3rd Party,190400.00,09:48 AM,3.0,2.0,1460.0,0.0,259751,135.0,18,11,2018,1.0,1.0,8.0,3.0
16,2020-12-01,1270849,311337.32,235939.00,262000.00,Sold to Plaintiff,47300.00,09:49 AM,1.0,1.0,816.0,0.0,286640,69.0,18,13,2019,1.0,1.0,4.0,2.0
17,2020-12-01,1272566,572709.56,229405.00,HIDDEN,Sold to 3rd Party,231900.00,09:51 AM,2.0,1.0,1966.0,9720.0,357836,59.0,18,14,2019,1.0,0.0,3.0,2.0
18,2020-12-01,1275598,145239.44,47327.00,HIDDEN,Canceled per Bankruptcy,,,4.0,2.0,1330.0,4700.0,254303,64.0,18,15,2019,0.0,0.0,1.0,1.0
19,2020-12-01,1276255,155307.32,247423.00,HIDDEN,Canceled per Order,,,3.0,2.0,2009.0,7669.38,337705,32.0,18,16,2019,0.0,0.0,1.0,1.0
20,2020-12-01,1276482,707414.23,630538.00,HIDDEN,Canceled per Order,,,4.0,4.0,3624.0,4885.0,749357,88.0,18,17,2020,0.0,1.0,8.0,1.0
21,2020-12-01,1277604,659139.24,414900.00,HIDDEN,Canceled per Order,,,1.0,1.0,808.0,0.0,523141,92.0,18,9,2018,0.0,1.0,5.0,2.0
22,2020-12-01,1276468,178186.48,125398.00,HIDDEN,Canceled per Order,,,3.0,2.0,1775.0,8475.0,169996,83.0,18,18,2020,0.0,1.0,6.0,1.0
25,2020-11-30,1270582,61076.25,805600.00,HIDDEN,Sold to 3rd Party,99700.00,10:05 AM,2.0,4.0,1763.0,0.0,0,28.0,28,18,2019,1.0,1.0,1.0,1.0
26,2020-11-30,1273780,169049.58,84969.00,HIDDEN,Sold to 3rd Party,301200.00,09:57 AM,3.0,2.0,1845.0,8355.0,330155,57.0,28,17,2019,1.0,0.0,4.0,1.0
27,2020-11-30,1276177,1251368.58,875501.00,1251368.58,Sold to Plaintiff,900100.00,09:50 AM,5.0,4.0,2739.0,7500.0,1154326,53.0,28,15,2019,1.0,0.0,3.0,1.0
28,2020-11-30,1275088,509189.63,313539.00,HIDDEN,Sold to 3rd Party,435600.00,09:16 AM,3.0,2.0,2058.0,9916.0,431192,164.0,28,9,2018,1.0,0.0,22.0,1.0
29,2020-11-30,1267931,474714.73,167425.00,HIDDEN,Canceled per Order,,,3.0,2.0,1763.0,5625.0,392610,87.0,28,10,2019,0.0,0.0,6.0,3.0
31,2020-11-30,1275530,211843.67,242182.00,HIDDEN,Canceled per Order,,,4.0,2.0,1727.0,5250.0,382228,80.0,28,5,2018,0.0,1.0,3.0,1.0
32,2020-11-30,1275053,19116.54,137821.00,24146.67,Canceled per Order,,,3.0,2.0,1834.0,2634.0,323356,55.0,28,19,2019,0.0,1.0,2.0,2.0
33,2020-11-30,1274918,402175.32,143611.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1451.0,5150.0,475721,116.0,28,1,2010,0.0,0.0,2.0,1.0
34,2020-11-30,1274209,443175.13,220760.00,HIDDEN,Canceled per Order,,,3.0,2.0,1472.0,2434.0,302803,103.0,28,12,2019,0.0,0.0,6.0,3.0
35,2020-11-30,1271043,402648.04,442816.00,407900.00,Sold to 3rd Party,408000.00,10:13 AM,1.0,2.0,912.0,0.0,537810,60.0,28,21,2019,1.0,1.0,3.0,1.0
36,2020-11-30,1274759,602746.17,259594.00,HIDDEN,Sold to Plaintiff,275600.00,09:08 AM,3.0,2.0,1671.0,5350.0,336856,167.0,28,2,2015,1.0,1.0,5.0,4.0
38,2020-11-30,1277357,598719.30,428000.00,550000.00,Sold to Plaintiff,2100.00,10:14 AM,1.0,2.0,979.0,0.0,0,48.0,28,22,2019,1.0,1.0,2.0,1.0
39,2020-11-30,1271156,544398.56,290593.00,HIDDEN,Canceled per Order,,,3.0,2.0,2096.0,7250.0,523979,108.0,28,6,2018,0.0,0.0,8.0,4.0
43,2020-11-30,1274745,17859.03,122502.00,HIDDEN,Canceled per Order,,,4.0,3.0,1965.0,1565.0,232211,38.0,28,13,2019,0.0,1.0,1.0,2.0
44,2020-11-30,1273995,1044671.61,708365.00,HIDDEN,Canceled per Bankruptcy,,,4.0,4.0,3624.0,5066.0,800138,81.0,28,16,2019,0.0,1.0,5.0,1.0
45,2020-11-30,1278784,324413.36,604154.00,348806.06,Canceled per Bankruptcy,,,5.0,5.0,3022.0,7644.0,0,50.0,28,23,2019,0.0,0.0,4.0,1.0
46,2020-11-30,1273824,191404.69,202632.00,HIDDEN,Canceled per Order,,,4.0,2.0,1842.0,7950.0,316597,77.0,28,7,2018,0.0,0.0,5.0,4.0
47,2020-11-30,1275089,21381.74,190542.00,HIDDEN,Sold to 3rd Party,25100.00,09:11 AM,1.0,1.0,905.0,0.0,192819,36.0,28,8,2018,1.0,1.0,1.0,1.0
48,2020-11-30,1270585,10214.30,72430.00,18527.31,Sold to 3rd Party,91200.00,10:24 AM,1.0,1.0,846.0,0.0,128176,33.0,28,27,2020,1.0,1.0,1.0,1.0
49,2020-11-30,1276186,531447.92,391797.00,409999.18,Sold to Plaintiff,5100.00,10:16 AM,1.0,2.0,947.0,0.0,0,79.0,28,25,2020,1.0,1.0,5.0,1.0
50,2020-11-30,1275527,7382.76,199700.00,7382.76,Canceled per Order,,,3.0,2.0,1565.0,1870.0,239902,42.0,28,28,2020,0.0,1.0,2.0,1.0
51,2020-11-25,1276127,394832.97,351312.00,HIDDEN,Sold to 3rd Party,401600.00,09:13 AM,3.0,2.0,2116.0,10140.0,466656,128.0,10,5,2016,1.0,1.0,5.0,1.0
53,2020-11-25,1274939,14981.51,38475.00,HIDDEN,Canceled per Order,,,2.0,2.0,1040.0,0.0,121974,42.0,10,8,2019,0.0,1.0,1.0,1.0
55,2020-11-25,1274742,260575.76,103252.00,HIDDEN,Sold to Plaintiff,140400.00,09:07 AM,1.0,1.0,710.0,0.0,170194,113.0,10,3,2014,1.0,1.0,9.0,3.0
56,2020-11-25,1276499,138330.92,81418.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1410.0,10000.0,304502,101.0,10,2,2013,0.0,0.0,1.0,3.0
57,2020-11-25,1275048,143001.16,123900.00,143001.16,Sold to 3rd Party,143100.00,09:14 AM,2.0,1.0,891.0,0.0,166016,81.0,10,7,2018,1.0,1.0,3.0,3.0
58,2020-11-25,1269919,540443.56,640309.00,HIDDEN,Canceled per Order,,,3.0,3.0,3309.0,17535.0,0,116.0,10,6,2018,0.0,1.0,16.0,5.0
59,2020-11-25,1272423,137220.74,68786.00,HIDDEN,Canceled per Bankruptcy,,,2.0,1.0,1213.0,7405.0,251528,86.0,10,4,2015,0.0,0.0,2.0,2.0
60,2020-11-25,1276128,311975.66,175386.00,370800.00,Sold to Plaintiff,320300.00,09:01 AM,4.0,2.0,1883.0,4802.0,412057,121.0,10,1,2008,1.0,1.0,5.0,5.0
61,2020-11-24,1270021,336177.03,85947.00,HIDDEN,Canceled per Order,,,3.0,1.0,912.0,4884.0,0,127.0,5,1,2018,0.0,0.0,13.0,3.0
62,2020-11-24,1269978,65296.00,108969.00,72716.00,Sold to 3rd Party,159600.00,09:10 AM,4.0,2.0,1728.0,7500.0,332462,47.0,5,5,2020,1.0,0.0,2.0,1.0
63,2020-11-24,1274038,371712.38,486405.00,HIDDEN,Sold to Plaintiff,305200.00,09:26 AM,2.0,0.0,1570.0,0.0,611558,95.0,5,2,2019,1.0,1.0,3.0,4.0
64,2020-11-24,1274220,814522.31,881342.00,HIDDEN,Sold to 3rd Party,814600.00,09:01 AM,5.0,4.0,4924.0,24000.0,1456128,55.0,5,3,2019,1.0,0.0,2.0,1.0
66,2020-11-23,1276167,332093.86,93674.00,211650.00,Sold to 3rd Party,222300.00,09:35 AM,4.0,3.0,1811.0,1896.0,254883,77.0,21,12,2019,1.0,1.0,5.0,1.0
67,2020-11-23,1275642,779817.27,432555.00,780161.46,Sold to Plaintiff,5100.00,09:36 AM,3.0,2.0,1680.0,8125.0,0,165.0,21,14,2019,1.0,0.0,3.0,1.0
68,2020-11-23,1275591,991457.43,1060146.00,HIDDEN,Sold to Plaintiff,658000.00,09:38 AM,5.0,5.0,4319.0,6150.0,970559,145.0,21,20,2020,1.0,1.0,12.5,1.0
69,2020-11-23,1275624,612897.19,513970.00,HIDDEN,Canceled per Order,,,2.0,1.0,1471.0,6950.0,626892,56.0,21,15,2019,0.0,0.0,4.0,1.0
70,2020-11-23,1274167,445931.73,113874.00,349900.00,Sold to Plaintiff,255600.00,09:37 AM,3.0,2.0,2003.0,5300.0,320933,106.0,21,16,2019,1.0,1.0,5.0,1.0
71,2020-11-23,1274461,300711.48,297912.00,HIDDEN,Canceled per Order,,,4.0,2.0,2747.0,9539.0,515177,69.0,21,17,2019,0.0,0.0,9.0,1.0
72,2020-11-23,1274459,84593.69,54464.00,HIDDEN,Canceled per Order,,,3.0,1.0,995.0,6200.0,180829,112.0,21,13,2019,0.0,1.0,4.5,1.0
73,2020-11-23,1275554,7090.06,199700.00,7090.06,Sold to 3rd Party,27100.00,09:39 AM,3.0,2.0,1565.0,1760.0,0,35.0,21,21,2020,1.0,1.0,1.0,1.0
74,2020-11-23,1273109,436218.22,152809.00,HIDDEN,Sold to 3rd Party,585200.00,09:22 AM,3.0,2.0,1101.0,10350.0,558493,123.0,21,3,2012,1.0,0.0,7.0,2.0
75,2020-11-23,1274462,234460.14,97037.00,139900.00,Canceled per Order,,,2.0,2.0,730.0,0.0,0,60.0,21,18,2020,0.0,0.0,2.0,1.0
76,2020-11-23,1272546,317977.99,158283.00,HIDDEN,Other,,,2.0,2.0,1362.0,0.0,289545,78.0,21,9,2018,,1.0,2.0,2.0
77,2020-11-23,1275635,194968.08,200408.00,212630.15,Sold to Plaintiff,169100.00,09:27 AM,3.0,2.0,1629.0,6750.0,306228,126.0,21,11,2019,1.0,0.0,2.0,3.0
78,2020-11-23,1273091,17920.12,386760.00,HIDDEN,Sold to 3rd Party,52900.00,09:01 AM,4.0,3.0,2434.0,11000.0,547895,140.0,21,1,2008,1.0,1.0,2.0,4.0
79,2020-11-23,1274192,185228.38,62393.00,HIDDEN,Sold to 3rd Party,150100.00,09:26 AM,3.0,1.0,800.0,5000.0,205300,123.0,21,10,2018,1.0,0.0,15.0,1.0
80,2020-11-23,1269399,419460.09,156179.00,HIDDEN,Canceled per County,,,3.0,2.0,1653.0,7500.0,407024,130.0,21,8,2017,0.0,1.0,7.0,4.0
82,2020-11-23,1275681,838159.19,940628.00,220370.00,Other,,,5.0,4.0,2700.0,8012.0,1953222,116.0,21,6,2016,,1.0,4.5,4.0
83,2020-11-23,1274164,197332.85,123601.00,220370.00,Sold to Plaintiff,173100.00,09:24 AM,2.0,2.0,996.0,0.0,0,137.0,21,5,2016,1.0,1.0,6.0,4.0
84,2020-11-23,1273112,504638.69,273000.00,345000.00,Sold to Plaintiff,600.00,09:23 AM,4.0,2.0,1894.0,1516.0,357476,123.0,21,4,2014,1.0,1.0,4.0,2.0
86,2020-11-23,1275403,374901.27,142564.00,HIDDEN,Sold to Plaintiff,296100.00,09:07 AM,3.0,2.0,1238.0,7611.0,0,265.0,21,2,2012,1.0,0.0,6.0,2.0
87,2020-11-18,1273985,1266865.47,731899.00,HIDDEN,Canceled per Bankruptcy,,,5.0,4.0,3757.0,33541.0,1362359,228.0,10,3,2017,0.0,0.0,2.0,3.0
88,2020-11-18,1275057,559079.39,573000.00,HIDDEN,Canceled per Order,,,2.0,2.0,1171.0,0.0,564297,62.0,10,9,2019,0.0,1.0,3.0,2.0
89,2020-11-18,1271025,328063.12,209000.00,275000.00,Sold to Plaintiff,250100.00,09:04 AM,3.0,2.0,1178.0,3598.0,289547,62.0,10,4,2019,1.0,1.0,5.0,3.0
90,2020-11-18,1273983,164233.06,194000.00,172207.49,Sold to 3rd Party,200100.00,09:06 AM,3.0,2.0,1256.0,0.0,254321,59.0,10,5,2019,1.0,1.0,5.0,2.0
91,2020-11-18,1273827,10172.76,53209.00,8872.83,Sold to 3rd Party,75300.00,09:19 AM,1.0,1.0,546.0,0.0,144610,80.0,10,8,2019,1.0,1.0,3.0,2.0
92,2020-11-18,1274040,275331.78,120407.00,288797.08,Canceled per Bankruptcy,,,3.0,1.0,966.0,8025.0,343671,75.0,10,6,2019,0.0,1.0,3.0,2.0
93,2020-11-18,1274028,97317.83,53907.00,HIDDEN,Sold to Plaintiff,45200.00,09:03 AM,2.0,1.0,930.0,0.0,125813,69.0,10,2,2017,1.0,1.0,2.0,2.0
94,2020-11-18,1271449,270171.12,71231.00,HIDDEN,Canceled per Order,,,4.0,2.0,1380.0,6000.0,0,167.0,10,1,2017,0.0,0.0,4.0,9.0
95,2020-11-18,1275545,717705.70,517979.00,HIDDEN,Canceled per Order,,,4.0,3.0,3632.0,18091.0,867942,46.0,10,10,2020,0.0,1.0,5.0,1.0
96,2020-11-18,1273984,357224.49,212941.00,HIDDEN,Canceled per Order,,,4.0,2.0,1946.0,3472.0,324097,37.0,10,7,2019,0.0,1.0,1.0,2.0
97,2020-11-17,1275529,222936.65,173672.00,216000.00,Sold to Plaintiff,3700.00,09:12 AM,3.0,2.0,1400.0,0.0,219426,90.0,7,3,2019,1.0,1.0,7.0,1.0
98,2020-11-17,1275476,42557.86,1776600.00,HIDDEN,Sold to 3rd Party,138100.00,09:24 AM,3.0,2.0,2340.0,0.0,0,37.0,7,6,2019,1.0,1.0,1.0,1.0
99,2020-11-17,1275473,116626.29,48086.00,HIDDEN,Canceled per Order,,,1.0,1.0,700.0,0.0,192192,101.0,7,2,2019,0.0,1.0,7.0,1.0
100,2020-11-17,1275544,32610.72,47889.00,HIDDEN,Sold to 3rd Party,65700.00,09:11 AM,2.0,2.0,1400.0,0.0,168867,52.0,7,1,2018,1.0,1.0,1.0,1.0
102,2020-11-17,1275772,1279736.92,1066434.00,HIDDEN,Sold to Plaintiff,960600.00,09:32 AM,6.0,4.0,3266.0,87120.0,1474324,67.0,7,7,2019,1.0,0.0,4.0,1.0
104,2020-11-16,1272551,85352.65,51558.00,HIDDEN,Canceled per Order,,,3.0,1.0,870.0,6750.0,0,124.0,38,15,2017,0.0,0.0,3.0,5.0
105,2020-11-16,1271793,537650.59,302000.00,540243.09,Sold to Plaintiff,100.00,09:18 AM,4.0,3.0,2322.0,2080.0,405500,144.0,38,17,2017,1.0,1.0,7.0,4.0
106,2020-11-16,1267921,294526.39,177287.00,338800.00,Canceled per Bankruptcy,,,3.0,2.0,1593.0,8900.0,425322,76.0,38,16,2017,0.0,0.0,4.0,4.0
107,2020-11-16,1275079,25391.01,231558.00,HIDDEN,Sold to 3rd Party,150100.00,11:05 AM,1.0,1.0,886.0,0.0,277154,67.0,38,24,2019,1.0,1.0,2.0,1.0
108,2020-11-16,1272436,333967.79,271204.00,HIDDEN,Canceled per Order,,,3.0,2.0,1524.0,7541.0,405423,136.0,38,11,2016,0.0,1.0,4.0,3.0
109,2020-11-16,1273779,328052.71,384594.00,331336.96,Canceled per Bankruptcy,,,3.0,2.0,2440.0,0.0,627683,90.0,38,23,2018,0.0,1.0,3.0,2.0
110,2020-11-16,1272249,470415.18,175000.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1186.0,3528.0,264430,132.0,38,10,2015,0.0,1.0,2.0,2.0
111,2020-11-16,1271860,97921.07,143174.00,HIDDEN,Sold to 3rd Party,98000.00,09:17 AM,2.0,1.0,1934.0,7000.0,259763,153.0,38,13,2017,1.0,0.0,5.0,4.0
112,2020-11-16,1272522,371189.96,280313.00,285000.00,Sold to Plaintiff,275300.00,09:19 AM,1.0,1.0,791.0,0.0,233585,125.0,38,19,2018,1.0,1.0,6.0,3.0
113,2020-11-16,1270379,117047.10,190792.00,HIDDEN,Sold to 3rd Party,263600.00,11:31 AM,2.0,1.0,865.0,7800.0,345446,46.0,38,30,2019,1.0,0.0,4.0,2.0
114,2020-11-16,1273268,874569.78,267825.00,HIDDEN,Canceled per Bankruptcy,,,4.0,2.0,2404.0,6000.0,423884,168.0,38,3,2013,0.0,1.0,9.0,5.0
115,2020-11-16,1275625,496834.00,556000.00,496834.00,Sold to Plaintiff,185200.00,11:41 AM,3.0,2.0,1458.0,0.0,539855,65.0,38,33,2019,1.0,1.0,3.0,2.0
116,2020-11-16,1273575,58305.66,253266.00,HIDDEN,Sold to 3rd Party,75100.00,09:02 AM,2.0,2.0,1229.0,0.0,351472,76.0,38,2,2011,1.0,1.0,3.0,2.0
117,2020-11-16,1268790,666333.98,268300.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1609.0,10736.0,601236,103.0,38,8,2015,0.0,1.0,2.0,3.0
118,2020-11-16,1274936,458165.37,253619.00,460794.23,Canceled per Bankruptcy,,,4.0,2.0,1680.0,10000.0,468034,141.0,38,1,2009,0.0,0.0,6.0,1.0
119,2020-11-16,1274740,2822758.47,1245023.00,1999900.00,Sold to Plaintiff,900100.00,09:16 AM,5.0,6.0,5378.0,12352.0,0,189.0,38,9,2015,1.0,1.0,3.0,3.0
120,2020-11-16,1274919,644366.19,430805.00,HIDDEN,Canceled per Order,,,0.0,1.0,1906.0,0.0,579329,203.0,38,12,2016,0.0,1.0,6.0,2.0
122,2020-11-16,1275087,2824246.27,1841094.00,2650000.00,Sold to Plaintiff,1452800.00,11:06 AM,4.0,4.0,4812.0,11250.0,2541609,95.0,38,25,2019,1.0,0.0,2.0,1.0
123,2020-11-16,1272422,343586.76,387008.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,2932.0,13500.0,486363,64.0,38,26,2019,0.0,0.0,2.0,2.0
124,2020-11-16,1275944,694073.13,284906.00,HIDDEN,Canceled per Order,,,3.0,2.0,1705.0,4700.0,380591,178.0,38,5,2014,0.0,1.0,5.0,1.0
125,2020-11-16,1274059,247678.86,163179.00,HIDDEN,Sold to 3rd Party,286400.00,09:15 AM,2.0,2.0,1271.0,3840.0,344137,94.0,38,7,2015,1.0,1.0,4.0,3.0
126,2020-11-16,1274466,516781.54,370770.00,HIDDEN,Sold to Plaintiff,302300.00,12:00 PM,1.0,1.0,830.0,0.0,0,47.0,38,37,2019,1.0,1.0,3.0,1.0
127,2020-11-16,1275080,71913.47,216319.00,HIDDEN,Canceled per Order,,,4.0,3.0,1631.0,4900.0,0,56.0,38,34,2019,0.0,1.0,4.0,1.0
128,2020-11-16,1274072,4363617.56,2775000.00,HIDDEN,Canceled per County,,,2.0,3.0,2942.0,0.0,0,134.0,38,35,2019,0.0,1.0,7.0,2.0
129,2020-11-16,1272253,409294.83,204218.00,HIDDEN,Sold to 3rd Party,369100.00,11:40 AM,2.0,4.0,2667.0,4659.0,0,57.0,38,32,2019,1.0,1.0,3.0,2.0
131,2020-11-16,1275519,362766.23,49849.00,HIDDEN,Sold to Plaintiff,103000.00,09:05 AM,2.0,2.0,870.0,0.0,176906,224.0,38,4,2014,1.0,1.0,4.0,1.0
132,2020-11-16,1272708,986493.56,234132.00,HIDDEN,Sold to Plaintiff,406200.00,09:08 AM,3.0,2.0,2058.0,5225.0,485666,136.0,38,6,2014,1.0,0.0,2.0,3.0
133,2020-11-16,1271808,166218.94,70600.00,HIDDEN,Sold to Plaintiff,100200.00,09:25 AM,2.0,2.0,931.0,0.0,105533,75.0,38,20,2018,1.0,1.0,3.0,2.0
134,2020-11-16,1273992,550855.63,540000.00,555132.63,Sold to Plaintiff,10100.00,11:24 AM,3.0,2.0,1489.0,0.0,0,93.0,38,28,2019,1.0,1.0,6.0,1.0
135,2020-11-16,1272297,481391.76,326448.00,HIDDEN,Sold to Plaintiff,400100.00,11:43 AM,3.0,2.0,1926.0,4325.0,451261,41.0,38,36,2019,1.0,1.0,4.0,1.0
136,2020-11-16,1275078,68399.04,347752.00,HIDDEN,Sold to 3rd Party,280100.00,11:34 AM,3.0,2.0,1950.0,0.0,438127,44.0,38,31,2019,1.0,1.0,4.0,1.0
138,2020-11-16,1275595,369017.95,197812.00,HIDDEN,Sold to Plaintiff,201100.00,12:15 PM,4.0,1.0,2196.0,9375.0,439679,62.0,38,38,2020,1.0,0.0,4.0,1.0
139,2020-11-16,1273756,197560.23,100079.00,HIDDEN,Canceled per Bankruptcy,,,3.0,3.0,1372.0,11470.0,272617,99.0,38,18,2018,0.0,0.0,3.0,4.0
140,2020-11-16,1270004,533060.41,162068.00,HIDDEN,Sold to Plaintiff,153400.00,09:30 AM,2.0,2.0,922.0,0.0,218218,110.0,38,22,2018,1.0,1.0,6.0,1.0
141,2020-11-16,1273480,547132.41,112419.00,540000.00,Sold to Plaintiff,425100.00,11:25 AM,2.0,2.0,1563.0,6250.0,599561,81.0,38,29,2019,1.0,0.0,6.0,3.0
142,2020-11-10,1272414,0.00,447032.00,HIDDEN,Canceled per Order,,,2.0,2.0,1707.0,0.0,552305,29.0,31,29,2020,0.0,1.0,1.0,2.0
143,2020-11-10,1273468,181073.96,256276.00,HIDDEN,Canceled per Order,,,4.0,2.0,2058.0,18447.0,631123,112.0,31,13,2018,0.0,1.0,12.0,5.0
144,2020-11-10,1273093,352391.63,308339.00,377051.11,Sold to Plaintiff,320100.00,09:43 AM,3.0,2.0,1904.0,8025.0,379368,121.0,31,12,2018,1.0,1.0,5.0,2.0
146,2020-11-10,1272494,364027.05,167430.00,HIDDEN,Sold to Plaintiff,322100.00,09:42 AM,4.0,2.0,1692.0,4000.0,0,103.0,31,10,2018,1.0,1.0,9.0,5.0
147,2020-11-10,1271326,69189.71,136054.00,HIDDEN,Canceled per Order,,,3.0,1.0,840.0,7500.0,210069,106.0,31,15,2018,0.0,1.0,5.0,4.0
148,2020-11-10,1273487,115467.57,104843.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1548.0,0.0,192518,117.0,31,11,2018,0.0,1.0,8.0,2.0
149,2020-11-10,1273295,97850.65,94242.00,HIDDEN,Canceled per Order,,,3.0,2.0,1471.0,6000.0,292714,68.0,31,18,2019,0.0,0.0,1.0,2.0
150,2020-11-10,1274218,34908.40,61310.00,HIDDEN,Sold to 3rd Party,55400.00,09:44 AM,0.0,1.0,410.0,0.0,0,94.0,31,16,2018,1.0,1.0,5.0,1.0
152,2020-11-10,1273507,332402.15,117718.00,HIDDEN,Sold to Plaintiff,283100.00,09:03 AM,4.0,2.0,1988.0,3473.0,329942,229.0,31,1,2010,1.0,0.0,4.0,2.0
153,2020-11-10,1274188,8366.00,164000.00,HIDDEN,Other,,,3.0,2.0,1432.0,2025.0,223830,115.0,31,17,2019,,1.0,5.0,1.0
156,2020-11-10,1273449,361431.55,216035.00,413056.35,Canceled per Bankruptcy,,,2.0,1.0,1323.0,4657.0,455138,86.0,31,14,2018,0.0,0.0,3.0,5.0
157,2020-11-10,1272946,135174.33,162263.00,180074.33,Sold to 3rd Party,180100.00,09:58 AM,3.0,2.0,1380.0,6450.0,278263,58.0,31,26,2019,1.0,0.0,2.0,5.0
158,2020-11-10,1274039,339756.06,150587.00,HIDDEN,Sold to Plaintiff,299100.00,09:09 AM,2.0,1.0,1527.0,8475.0,394569,184.0,31,4,2014,1.0,0.0,1.0,6.0
159,2020-11-10,1273501,450347.73,245374.00,HIDDEN,Canceled per County,,,5.0,3.0,2663.0,5500.0,474734,109.0,31,8,2017,0.0,1.0,3.0,4.0
160,2020-11-10,1274187,276490.27,328435.00,HIDDEN,Canceled per Order,,,3.0,2.0,1950.0,0.0,0,73.0,31,19,2019,0.0,1.0,5.0,1.0
161,2020-11-10,1273650,315575.71,163136.00,HIDDEN,Sold to Plaintiff,233700.00,09:55 AM,4.0,1.0,1414.0,11737.6,308113,93.0,31,23,2019,1.0,0.0,2.0,1.0
162,2020-11-10,1273745,371343.43,314667.00,HIDDEN,Canceled per Bankruptcy,,,5.0,3.0,3830.0,9523.0,447299,106.0,31,22,2019,0.0,1.0,14.0,2.0
163,2020-11-10,1274735,94781.61,2584000.00,94781.61,Sold to 3rd Party,235100.00,10:08 AM,3.0,4.0,3529.0,1.0,5168404,47.0,31,27,2019,1.0,1.0,1.0,1.0
164,2020-11-10,1275437,156423.95,149171.00,159878.09,Sold to 3rd Party,178100.00,09:47 AM,2.0,1.0,1189.0,7000.0,252102,73.0,31,20,2019,1.0,0.0,2.0,1.0
165,2020-11-10,1274907,453434.34,300245.00,HIDDEN,Sold to Plaintiff,385100.00,09:08 AM,4.0,2.0,3268.0,14082.0,561220,110.0,31,3,2013,1.0,0.0,5.0,3.0
166,2020-11-10,1273564,333547.50,321275.00,300000.00,Sold to 3rd Party,342400.00,09:51 AM,4.0,3.0,2417.0,6020.0,443961,66.0,31,21,2019,1.0,0.0,2.0,4.0
168,2020-11-10,1272177,314719.24,332737.00,HIDDEN,Sold to Plaintiff,367100.00,09:07 AM,4.0,3.0,2690.0,4400.0,430407,215.0,31,2,2013,1.0,1.0,4.0,6.0
169,2020-11-10,1272421,496510.17,118769.00,HIDDEN,Sold to Plaintiff,200600.00,09:13 AM,3.0,1.0,1695.0,9030.0,275103,166.0,31,5,2015,1.0,1.0,3.0,5.0
